flag_fin,region,length_category,year,days_at_sea,f_transit_med,s_transit_floor,das_trip_med,radius_km_med
SUR,LatinAmerica,24-50m,2006,201.99303164129,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,2007,202.068170582462,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,2008,202.299202121143,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,2009,202.365132921636,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,2010,202.121235235646,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,2011,201.578316434578,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,2012,200.760977539889,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,2013,200.31480502514,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,2014,199.583000594924,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,2015,198.664204854506,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,2016,198.153538804034,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,24-50m,2017,197.964061732049,0.488898244214761,10,6,651.916474765731
SUR,LatinAmerica,6-12m,2008,204.427358145953,0.625803123734931,6.5,2,180.802032084506
SUR,LatinAmerica,6-12m,2009,205.037707386682,0.625803123734931,6.5,2,180.802032084506
SUR,LatinAmerica,6-12m,2010,205.037710949077,0.625803123734931,6.5,2,180.802032084506
SUR,LatinAmerica,6-12m,2011,204.42733674355,0.625803123734931,6.5,2,180.802032084506
SUR,LatinAmerica,6-12m,2014,204.427332966659,0.625803123734931,6.5,2,180.802032084506
SUR,LatinAmerica,6-12m,2015,204.427308024159,0.625803123734931,6.5,2,180.802032084506
SVN,Europe,12-24m,1950,203.443919815774,0.376195945476261,25.0670960403572,4,838.301716127826
SVN,Europe,12-24m,1951,203.443919815774,0.376195945476261,25.0670960403572,4,838.301716127826
